act to	разыгрывать
raw	сырой, необработанный
ray	луч
razor	бритва
reach	достичь
reach out	потянуться
read out	огласить, зачитать вслух
read up on	изучить вопрос
real estate	недвижимость
realize	понимать
realm	царство или область
reap	пожинать
rear	задний
reason	причина, мотив
reason	разум, благоразумие
rebel	восставать
rebound	отскочить, рикошет
recall	вспоминать
recede	убывать
receipt	квитанция
receipt	получение
receive	получить
recent	недавний, последний
reception	прием, приёмная
recess	выемка, впадина
recess	перерыв
recipe	рецепт
recipient	получатель
reciprocal	взаимный, ответный
recite	декламировать, рассказывать
reckless	опрометчивый, безрассудный
reckon	считать, рассчитывать
recognize	узнавать
recollection	воспоминание
reconcile	примириться
record	запись
recount	пересказать
recover	восстановиться, выздороветь
recreation	отдых и развлечения
recruit	набирать, вербовать
rectangle	прямоугольник
recur	повторяться, возвращаться
recycle	перерабатывать
redeem	выкупить, искупить
reduce	снижать
redundant	избыточный
reed	тростник, камыш
reel	катушка, наматывать
refer	сослаться, отослать
refine	очищать, усовершенствовать и т.д.
reflect	отражать
refrain	воздерживаться
refresh	обновлять, освежить
refrigerator	холодильник
refuge	убежище, пристанище
refugee	беженец
refund	возврат, возмещение
refuse	отказаться
refute	опровергать
regain	восстановить, вернуть себе
regard	считать, рассматривать
regard	внимание, уважение
regiment	полк
register	касса
regret	сожалеть, сожаление
regular	обычный
rehearse	репетировать
reign	царствовать
rein	сдерживать, держать в узде
reinforce	усилить, укрепить
reject	отвергать
rejoice	радоваться
relate	относиться, быть связанным
relate	рассказывать, передавать
relative	относительный
relative	родственник
relay	передавать, ретранслировать
release	отпускать, выпускать
relentless	настойчивый, непрекращающийся
relevant	уместный, актуальный
relief	облегчение
relieve	облегчить, освободить
relish	наслаждаться
reluctant	неохотный, нежелающий
rely	полагаться
remain	оставаться
remainder	оставшаяся часть
remains	остатки, останки
remark	замечать, замечание
remedy	средство
remind	напомнить
reminiscent	напоминающий
remnant	остаток
remorse	раскаяние
remote	отдалённый, захолустный
remove	убрать, удалить
render	делать, придавать свойство
render	воздавать, оказывать
renew	возобновлять
renovate	ремонтировать, обновлять
renown	известность, слава
rent	аренда, арендовать, сдавать
repair	ремонт, ремонтировать
repay	отплатить
repeal	отменить
repel	отталкивать, отражать
replace	заменить
replicate	воспроизвести
reply	ответ, отвечать
report	доклад, отчёт
represent	представлять
repress	подавлять
reproduce	воспроизводить
request	запрос, запрашивать
require	требовать
rescue	спасать, спасение
research	исследование, исследовать
resemble	походить
resent	огорчаться, возмущаться
reserve	запас, запасной, запасать
reserve	бронировать
reserved	скрытный, замкнутый
reside	проживать
residue	остаток
resign	отказываться, сдавать, уходить
resilient	стойкий, упругий
resist	сопротивляться
resolute	решительный, твёрдый
resolve	решиться, решимость
resolve	разрешить
resort	курорт
resort to	прибегать к
respective	соответственный
respond	отвечать
response	ответ, отклик
responsible	ответственный
rest	отдых, отдыхать
rest	остаток, остальное
rest	покоиться
restore	восстанавливать
restrain	ограничивать, удерживать
restrict	ограничивать
result in	привести к
resume	возобновить
resurrect	воскрешать
retail	розничная продажа
retain	сохранять, удерживать
retaliate	отплатить, отомстить
retarded	умственно отсталый
retention	удержание, сохранение
retire	уходить в отставку, на пенсию
retract	втягивать, брать обратно и т.д.
retreat	отступать
retrieve	извлечь, вернуть
retrospect	взгляд в прошлое
return	возвращаться
reveal	раскрыть, выявить
revenge	месть
revenue	доход, выручка
revere	почитать
reverse	обратный, обратить
review	обзор, сделать обзор
revise	пересматривать, проверять
revive	возрождать, оживлять
revolt	восстание, бунт
revolve	вращаться
reward	награда, награждать
rhyme	рифма
rib	ребро
ribbon	лента
rice	рис
rich	богатый
rid	освобождать, избавлять
riddle	загадка
ride	ездить
ridge	хребет, ребро
ridicule	осмеяние
ridiculous	смешной, нелепый
rifle	винтовка
rift	разрыв, трещина
rig	установка, сооружение
right away	немедленно
righteous	праведный
rigid	жесткий
rigorous	строгий, тщательный
rim	край, обод
ring 	звонить, звонок
rinse	полоскать, полоскание
riot	бунт
rip	рвать
rip off	обмануть, ободрать
ripe	созревший
ripple	рябь или пульсация
rise 	подниматься, повышаться
rite	церемония, ритуал
rival	соперничающий, враждебный
rivet	заклёпка, приковывать, клепать
roadside	обочина, придорожный
roadway	проезжая часть
roam	бродить, блуждать
roar	рёв, реветь
roast	жарить
rob	грабить, отнимать
robe	халат, мантия, одеяние
robust	крепкий, надёжный, здоровый
rock	камень, скала
rock	качать, трясти
rod	стержень, прут
rodent	грызун
rogue	жулик, проходимец
roll	катиться
roll	рулон, клубок, свиток и т. д.
roll up	свернуть, скатать
roof	крыша
room	место, пространство
root	корень
root out	искоренить
rope	верёвка
rope in 	втянуть в занятие
rot	гнить
rotate	вращать
rotate	сменять, чередовать
rotten	гнилой
rough	грубый, неровный, жёсткий
rough up	грубо обращаться, нападать
round	круг, круглый
round down	округлить
rouse	будить
route	маршрут
row	ряд
row	грести
royal	королевский
rub	тереть
rubber	резина, резиновый
rubbish	мусор
rubble	щебень, обломки
rude	грубый, неприличный
ruffle	рябить, взъерошить
rug	коврик
rugged	неровный, грубый
ruin	разрушать, губить
rule	правило
rule	править
rule out	исключать, не рассматривать
ruler	линейка
rumble	грохот, рокот
rumor 	слух
run	управлять
run after	гнаться за
run away	убежать
run counter	противоречить
run out of	исчерпать запас
run over	переехать машиной
runaway	беглый, беглец
runway	взлётная полоса
rupture	разрыв
rural	сельский
rush	торопиться, мчаться, броситься
rust	ржавчина
rustic	деревенский, простой, грубый
rustle	шелест
rut	борозда, колея, рутина
ruthless	беспощадный
sack	мешок
sacred	священный
sacrifice	жертва
saddle	седло
safe	надёжный, защищённый
sail	парус, плыть
saint	святой
salary	зарплата
sale	продажа, сбыт
salesperson	продавец
salient	выступающий, заметный
saliva	слюна
salmon	лосось
salt	соль
salvage	спасти, уберечь от потери
salvation	спасение
sample	образец, часть
sanctuary	убежище или заповедник
sand	песок
sane	здравый, вменяемый
satellite	спутник
satisfy	удовлетворять
saturated	насыщенный
saucepan	кастрюля или сковорода
saucer	блюдце
sausage	колбаса
savage	дикарь, дикий
save up	накопить
savings	сбережения
savior	спаситель
savor	вкус, смаковать
scaffold	помост
scale	масштаб, шкала
scale	взбираться
scale	чешуя, шелуха
scales	весы
scant	скудный
scar	шрам
scarce	редкий, скудный
scare	пугать
scarf	шарф
scarlet	алый
scatter	разбрасывать, рассеивать
scent	нюх или аромат
schedule	график, расписание
scheme	схема
scholar	учёный
scholarship 	стипендия
science	наука
scissors	ножницы
scold	ругать
scoop	совок, ковш, черпать
scope	пределы, район
score	счёт, очко, балл
scorn	презирать, презрение
scour	обыскать, прочесать
scout	разведчик
scowl	насупиться, рассердиться
scramble	драка, схватка
scramble	карабкаться, продираться
scrambled eggs	яичница
scrap	обломок, обрывок
scrape	скрести
scrape through	с трудом пройти
scrape together	наскрести
scratch	царапать, царапина
scream	кричать, крик, вопль
screech	визг, скрип, хрип и т. д.
screenplay	сценарий
screw	винт, ввинчивать
screw	к чёрту
screw up	завалить, просрать
scribble	криво написать, нацарапать
scrub	чистить, драить
scrutiny	внимательный осмотр, изучение
scurry	бежать, сновать, суетиться
seal	печать, запечатывать
seal	тюлень
seam	шов
search	поиски, искать
seasoning	приправа
seat	место, сиденье
secular	светский
secure	безопасный, надёжный
sediment	осадок
seduce	соблазнять
see off	провожать
see through	довести до конца
see to	заняться, позаботиться
seed	семя, сеять
seek 	искать, стремиться
seem	казаться
seep	просачиваться, проникать
segregate	разделять
seize	схватить
seldom	редко
select	выбирать, отбирать
selfish	эгоистичный
sell out of	распродать
send 	отправить
send out	рассылать
senior	старший
sensation	ощущение
sense	чувство, осознание
sense	смысл, значение
sensible	разумный, имеющий смысл
sensitive	чувствительный
sentence	предложение
sentence	приговор
sentiment	настроение, чувство
separate	отдельный, отделять
sequence	последовательность
serene	безмятежный, безоблачный
series	сериал
sermon	проповедь
serve	служить
serve	сидеть
serve	подавать
set	набор, комплект
set 	установить, наладить
set about	приступить, начать
set down	написать, установить
set out	разъяснять
set out for	отправиться
set smb back	задержать
set smb back	обойтись в
set smb up	подставить
set smb up with	познакомить, свести
set smb up with	устроить, организовать
settle	селиться
settle	уладить
settle for	согласиться на
settle in	освоиться
settle on	определиться с
sever	разрывать, разъединять
several	несколько
severe	серьёзный, суровый, жёсткий
sew	шить
sewage	канализация, сточные воды
sex	пол
shabby	потрёпанный, облезлый
shack	лачуга, хибара, будка
shade	тень
shade	оттенок
shadow	тень
shaft	вал, ось, стержень
shaft	шахта
shake 	трясти
shake
shake off	отделаться
shake up	встряхнуть, взбудоражить
shallow	мелкий
shame	стыд, позор
shape	форма, формировать
share	делить, доля
share	разделять
shareholder	акционер
shark	акула
sharp	острый
shatter	разрушить, раздробить
shave	брить
shed	сарай, ангар и т.п.
shed 	проливать, терять, сбрасывать
sheep 	овца
sheer	отвесный
sheer	явный, полный, чистый
sheet	лист
shelf 	полка, уступ
shell	скорлупа, раковина, гильза
shelter	укрытие, убежище
shepherd	пастух
shield	щит, прикрывать
shift	сменить, сдвинуть
shift	смена
shimmer	мерцать, переливаться
shine 	сиять, блестить, светить
ship	доставлять
shirt	рубашка
shiver	дрожь, дрожать
shoe	туфля, ботинок
shoot 	стрелять
shoot 	снимать, фотографировать
shore	берег
shortage	нехватка
shoulder	плечо
shout	кричать
shove	резко толкнуть, пихнуть
shovel	лопата или совок
show around	показать места
show off	показать всем, похвастаться
show up	прийти
showcase	витрина, демонстрировать
shower	душ
shred	мелко порубить
shrewd	проницательный
shriek	пронзительный крик, вскрикнуть
shrimp	креветка
shrine	святыня
shrink 	сжаться, съёжиться
shroud	пелена, окутывать
shrub	куст
shrug	пожать плечами
shudder	содрогаться, дрожь
shuffle	перемешивать, тасовать
shun	избегать
shut 	закрыть
shut out	не впускать
shy	застенчивый
siblings	братья и сестры
sick	больной, плохо чувствующий
sideline	что-то вторичное
sidewalk	тротуар
sideways	вбок
siege	осада
sift	просеять
sigh	вздох
sight	вид, поле зрения
sight	достопримечаетльность
sign	знак
sign	подпись, подписывать
sign up	записаться, зарегистрироваться
signature	подпись
significant	значительный
signify	означать
silent	тихий, молчаливый
silk	шелк
sill	подоконник, порог
silly	глупый
similar	похожий
simmer	медленно кипятить
simple	простой, обычный
simulate	моделировать, имитировать
simultaneous	одновременный
sin	грех, грешить
since	с
since	поскольку
sincere	искренний
single	один, отдельный, единый
singular	единственный, особый
sinister	зловещий
sink	раковина
sink 	тонуть, топить
sip	глоток
sit around	просто сидеть
sit back	отсидеться
sit out	высидеть
site	местоположение
situate	располагать
size up	изучить, оценить
skate	конёк, кататься на коньках
sketch	набросок, эскиз
ski	ездить на лыжах
skid	заносить, скользить, буксовать
skill	умение, искусство и т. д.
skillet	сковорода
skim	скользить
skin	кожа
skinny	тощий
skip	прыгать, перепрыгивать
skirt	юбка
skull	череп
slab	плита, блок
slack	расслабление, поблажка
slam	хлопать, ударять, захлопывать
slant	наклон, скос, наклонять
slap	шлёпать, пощечина
slash	рубить, хлестать, кромсать
slate	шифер или сланец
slaughter	бойня , забивать
slave	раб
slay 	умертвить
sleek	гладкий, лоснящийся
sleep around	трахаться, блудить
sleeve	рукав
slender	тонкий, стройный, изящный
slice	ломтик, нарезать
slick	скользкий
slide скользить
slight	лёгкий, слабый, незначительный
slim	стройный
slime	слизь
slip	скользнуть
slipper	тапок
slippery	скользкий
slit	щель
slope	склон, наклон
sloppy	небрежный, неряшливый
slot	разъём, паз, гнездо
slow down	замедлиться
sludge	осадок, отстой, ил
slum	трущобы
slump	спад, сваливаться
sly	лукавый, коварный
smack	шлёпнуть, хлопнуть
smart	умный, хитрый
smash	громить, разбивать
smear	мазать
smell	запах, пахнуть, нюхать
smirk	ухмылка
smooth	гладкий
smother	задушить
smudge	смазать
smuggle	провозить тайно
snack	лёгкая закуска
snag	коряга или загвоздка
snail	улитка
snake	змея
snap	щёлкать, щелчок
snapshot	снимок
snarl	рычать, огрызаться
snatch	схватить, утащить
sneak	красться
sneakers	кеды, кроссовки
sneer	усмешка, насмехаться
sneeze	чихать
sniff	нюхать, сопеть, фы и т. д.
snore	храп, храпеть
snort	фыркнуть, хмыкнуть
snowball	снежок
snug	уютный, тесный
so far	до сих пор
soak	мочить, пропитывать
soap	мыло
soar	парить, взмывать
sob	рыдать, всхлипывать
sober	трезвый
sober up	протрезветь
so-called	так называемый
soccer	футбол
society	общество
sock	носок
socket	разъем, розетка
soften	смягчать
software	программое обеспечение
soil	почва
solar	солнечный
sole	единственный
sole	подошва
solemn	торжественный, серьёзный
solid	твёрдый, крепкий
solid	сплошной
solitary	уединенный
solitude	одиночество
solution	решение, ответ
solution	раствор
solve	решить
someday	когда-нибудь
somewhat	слегка
soon	скоро или рано
soot	сажа
soothe	успокаивать
sophisticated	сложный, изощрённый
sore	больной, рана
sorrow	горе, скорбь
sound	здоровый
sour	кислый
source	источник
south	юг, южный
sovereign	суверенный
sow 	сеять
space	пространство
space	космос
spade	лопата
span	пролёт, интервал
spare	запасной, лишний
spare	выделить, уделить
spare	щадить, избавить
spark	искра, вспыхивать
sparkle	сверкать, блистать, искриться
sparse	редкий, разреженный
spawn	порождать, порождение и т. д.
speak out	высказать
speak up	говорить громче
spear	копье
special	особенный, специальный
species	вид
specific	конкретный
specify	указать, установить, уточнить
specimen	образец, экземпляр
speck	пятнышко, крупинка
spectacle	зрелище
spectator	зритель, наблюдатель
speculate	предполагать, строить догадки
speed up	ускориться
spell	заклинание, чары
spell	произносить по буквам
spell out	разъяснить
spend 	тратить
spice	пряность, специя
spike	шип, штырь, острие, клин
spill	проливать, рассыпать
spin	крутить
spine	позвоночник
spirit	дух
spit 	плевать
splash	брызги, всплеск
splendid	великолепный, блестящий
splinter	шепка, осколок, заноза
split 	расколоться, распасться
split up	разделиться
spoil	портить
spokesman	представитель, прес-секретарь
sponge	губка
spooky	жуткий
spot	пятно
spot	место
spot	заметить, увидеть
spotlight	прожектор, центр внимания
spouse	супруг, супруга
sprawl	растягиваться, расползаться
spread распространять, распространяться
spring 	источник, проистекать, прыгать
sprinkle	побрызгать, посыпать
sprout	росток, прорастать
spur	шпора, побуждать
spy	шпион, шпионить
squad	команда, отряд
square	квадрат, квадратный
square	площадь
squash	раздавливать, расплющивать
squat	приседать, приземистый
squeak	пищать, скрипеть
squeal	визг, визжать
squeeze	сжимать
squid	кальмар
squint	щуриться или коситься
squirm	извиваться, ёрзать
squirrel	белка
squirt	тонкая струя
stab	ударить ножом, зарезать
stable	устойчивый
stack	стопка, куча, складывать
staff	персонал
stage	сцена
stage	стадия, ступень
stagger	шататься, колебаться
stain	пятно, окрашиваться, пачкать
stairs	ступеньки, лестница
stake	ставка, делать ставку
stake	стойка, кол, столб
stale	несвежий
stalk	стебель
stalk	красться, преследовать
stall	палатка, ларёк
stall	задержаться, застопориться
stamp	печать, штамп, марка
stance	поза, положение
stand	терпеть, выносить
stand against	противостоять
stand by	поддерживать, быть наготове
stand out	выделяться
standpoint	точка зрения
staple	скоба, скрепка
stare	пялиться, пристальный взгляд
stark	чёткий, жёсткий, острый
start up	основать, установить
startle	испугать
starve	голодать
stash	тайник, заначка, прятать
state	состояние
state	государство
state	заявить, отметить
stature	рост
statutory	установленный законом
stay	оставаться
stay	остановиться пожить
stay up	не ложиться
steady	устойчивый
steal 	красть
stealth	скрытность, хитрость
steam	пар
steel	сталь, стальной
steep	крутой
steer	управлять, направлять
stellar	звездный
stem	стебель
step	шаг, ступать, ступенька
step down	уйти в отставку
step in	вмешаться
stern	суровый, строгий
stew	тушить, рагу
stick	палка, тыкать палкой
stick 	приклеить
stick at	упорно продолжать
stick out	торчать, выделяться
stick to	придерживаться, соблюдать
stick together	держаться вместе
stiff	жёсткий, негнущийся
stifle	удушать
still	спокойный, неподвижный
sting 	жалить, жало
stink 	вонять
stir	шевелить, шевелиться, двигать
stir up	вызвать, возбудить
stitch	стежок, сшить, зашить
stock	запас
stock	акции
stock	банальный, шаблонный
stock up on	запастись
stocking	чулок
stomach	желудок, живот
stomp	топать
stool	табурет
stoop	крыльцо со ступеньками
stoop	наклоняться или сутулиться
stop over	заехать, остановиться
store	магазин
store	хранить, хранилище
stout	толстый, плотный, крепкий
stove	плита
straight	прямой, прямо
straightforward	простой, прямой, откровенный
strain	напрягать, напряжение
strait	пролив
strand	прядь, нить
strand	застрять, сесть на мель
strangle	придушить
strap	ремень
straw	солома
strawberry	клубника
stray	бродить, бродячий
streak	полоса, след, струя
stream	поток, ручей
strength	сила, мощность, прочность
stress	подчеркнуть, заострить внимание
stretch	тянуть, вытягивать
strew 	разбрасывать
strict	строгий, точный
stride 	шагать, шаг
strike	забастовка
strike 	бить, удар
string	струна, тетива, бечева
stringent	строгий
strip	полоса, лента
strip	снимать, обнажать
stripe	полоса
strive 	стремиться, добиваться
stroke	гладить
stroll	прогулка, прогуливаться
struggle	бороться, борьба
stubborn	упрямый
stud	шпилька
stuff	вещи, всякая фигня
stuffy	душный
stumble	спотыкаться, запинаться
stump	пень
stun	ошеломить, оглушить
stunt	трюк, выходка
stupid	глупый
sturdy	крепкий
subdue	подавить, укротить
subject	предмет, тема
subject	подверженный, подвергать
sublime	возвышенный, величественный
submerge	погружаться под воду
submit	подавать информацию
submit to	подчиниться
subordinate	подчиненный, подчинять
subscribe	подписываться
subsequent	последующий
subside	утихать, спадать
subsidiary	вспомогательный, дополнительный
subsist	существовать, прокормиться
substance	вещество, материя
substantial	существенный, значительный
substantive	существенный, основной
substitute	заменять, замена
subtitle	субтитры или подзаголовок
subtle	тонкий, неуловимый
subtract	вычитать
suburb	пригород
subvert	подорвать
subway	метро
succeed	достичь цели
success	успех
succession	последовательность, преемственность
successor	преемник
succumb	поддаться, не устоять
suck	сосать
sudden	внезапный
sue	предъявить иск
suffer	страдать
suffice	хватать, быть достаточным
sufficient	достаточный
suffocate	задыхаться
suggest	предлагать
suit	костюм, комплект
suit	подходить, соответствовать
suitcase	чемодан
suite	апартаменты, номер люкс
sulfur	сера
sulphur сера
sum	сумма, суммировать
sum up	подытожить
summary	сводка, конспект
summit	вершина, верх
summon	вызывать
sunset	закат солнца
superb	превосходный
superficial	поверхностный
superintendent	управляющий, начальник
superior	высший, превосходящий
supervise	надзирать, контролировать
supplement	дополнение, дополнять
supply	поставлять, поставка
supply	предложение
support	поддерживать
suppose	полагать
suppress	подавлять, удерживать
supreme	высший, верховный
sure	уверенный
surf	прибой
surface	поверхность
surge	волна, всплеск, вздыматься
surgery	хирургия, операция
surpass	превзойти
surplus	избыток, излишек
surprise	удивлять, удивление
surrender	сдаваться, капитулировать
surround	окружать
surveillance	наблюдение
survey	обзор, исследование
survive	выжить
susceptible	восприимчивый, подверженный
suspect	подозревать, подозреваемый
suspend	приостановить, подвесить
suspicious	подозрительный
sustain	поддерживать
swallow	проглатывать, глоток
swamp	болото, топь
swan	лебедь
swap	менять, обмен
swarm	рой, роиться, толпиться
sway	раскачивать
swear	клясться
swear	ругаться
sweat	пот, потеть
sweep	размах, охват
sweep подметать
sweetheart	возлюбленный, милый
swell раздуваться, распухать
swift	быстрый, скорый
swing качать, махать
swirl	кружить, вихрь, водоворот
switch	переключать, переключатель
swoop	кинуться, напасть
sword	меч
syllable	слог
symbol	символ
sympathy	сочуствие
syringe	шприц
table	таблица
tablet	плитка, пластина
tack	канцелярская кнопка, гвоздик
tack	курс, линия поведения
tackle	взяться за что-л.
tackle	принадлежности, снаряжение
tag	этикетка, ярлык
tail	хвост
tailor	портной, кроить
taint	загрязнить, испортить
take	воспринимать
take a look	взглянуть
take a walk	прогуляться
take aback	ошеломить
take advantage of	воспользоваться
take apart	разбирать
take away	отнять
take care	позаботиться, заняться
take down	записать
take in	понять, вникнуть
take into account	учесть
take off	снять
take off	взлететь
take on	набрать
take on	соревноваться, столкнуться
take over	принять обязанности
take part	принимать участие
take place	происходить, бывать
take up	заняться чем-либо
talk into	уговорить
talk smb out	отговорить
tall	высокий
tally	подсчитывать, подсчёт, итог
tame	ручной, приручать
tan	загар, загорать
tangible	осязаемый
tangle	запутывать
tank	бак
tap	стучать
tap	кран
tape	лента, записывать на ленту
tar	смола
target	цель, мишень
tart	пирог, обычно фруктовый
task	задание, задача
taste	вкус, иметь вкус
tattered	оборванный
taunt	насмехаться, насмешка
tax	налог
team	команда, бригада
tear	слеза
tear рвать
tease	дразнить
tedious	утомительный, нудный
teenage	возраста -
tell apart	различать
tell off	ругать
temper	характер
temple	храм
temple	висок
temporary	временный
tempt	искушать
tenant	арендатор
tend	иметь склонность
tend	ухаживать
tender	нежный
tense	напряжённый, напрягать
tent	палатка, шатёр
tentative	пробный, экспериментальный
term	термин
term	срок, период
terminal	конечный, заключительный
terminate	прекратить, завершить
terms	отношения
terms	условия, соглашение
terrain	местность
terrible	ужасный
terrify	устрашать
terror	ужас
testament	завет, завещание
testify	свидетельствовать
testimony	показание, свидетельство
thank	благодарить
thaw	оттепель, оттаивать
theater	театр
theft	кража
theme	тема
thereafter	впоследствии
thereby	тем самым
therefore	следовательно
thermal	тепловой
thick	толстый
thick	густой
thief 	вор
thigh	бедро
thin	тонкий, худой
think over	обдумать
thirst	жажда
thorn	шип, колючка
thorough	основательный, полный
though 	хотя
thought	мысль
thread	нить
threat	угроза
threshold	порог
thrift	бережливость
thrill	трепет, дрожь, дрожать
thrive	процветать, преуспевать
throat	горло
throng	толпа, толчея, толпиться
throw 	бросать
throw away	выбрасывать
throw up	блевануть
thrust	сунуть, пихнуть
thud	глухой удар
thug	бандит, головорез
thumb	большой палец
thump	колотить
thunder	гром
thus	таким образом, поэтому
thwart	помешать, сорвать
tick	клещ
tick	галочка, поставить галочку
ticket	билет, талон
tickle	щекотать
tide	волна, поток, прилив
tidy	опрятный, аккуратный
tie	связывать, завязывать
tie	галстук, завязка и т.п.
tied up	занятый
tier	ярус
tight	тугой, тесный
tile	плитка, черепица
tilt	наклонять, наклон
timber	древесина, лесоматериалы
timely	своевременный
timetable	расписание
timid	робкий, пугливый
tin	олово или жесть
tinker with	возиться, пытаться сделать
tint	оттенок
tiny	крошечный
tip	кончик, верхушка
tip	совет, рекомендация
tip чаевые
tips	чаевые
tip smb off	предупредить, секретно сообщить
tired	усталый
tissue	ткань
tissue	бумажная салфетка
title	заголовок
toe	палец ноги
toil	тяжело трудиться
token	знак, признак, маркер
tolerate	терпеть
toll	плата, пошлина, тариф
tomb	надгробие, склеп
tongue	язык
tool	инструмент
tooth зуб
teeth	зубы
topic	тема, предмет обсуждения
topple	опрокинуть, опрокинуться
tops	самое большое
torch	факел, горелка
torment	мучение
torture	пытка, мучить
toss	бросать
total	полный, всеобщий
touch	касаться, прикосновение
touch	связь, контакт
tough	жёсткий, крепкий, тяжёлый
tournament	турнир
tout	рекламировать, нявязывать
tow	буксир или эвакуатор, буксировать
toward по направлению к
towel	полотенце
tower	башня, возвышаться
toy with	подумывать о ч-л
trace	след, отслеживать
track	след, выслеживать
track down	разыскать, отследить
trade	торговля, торговый
traffic light	светофор
trail	след, тропа
train	поезд
train	тренировать
trait	черта, характеристика
traitor	изменник
tram	трамвай
tramp	бродяга
tranquil	спокойный
transcript	расшифровка, текст
transfer	перевести, перевод
transition	переход
transmit	передавать, переносить
transparent	прозрачный
trap	ловушка, ловить
trash	мусор
tray	лоток, поднос, поддон
treachery	предательство, вероломство
tread	ступать, шагать
treasure	сокровище
treat	обращаться, иметь дело
treaty	договор между гос-вами
trek	поход, переход
tremble	дрожать
tremendous	громадный, страшный
trench	траншея
trial	судебный процесс
trial	испытание, пробный
triangle	треугольник
tribe	племя
tribute	дань
trick	трюк, фокус, уловка
trickle	струйка, капать, сочиться
trigger	спусковой крючок
trim	подстригать, обрезать, ровнять
trip	поездка
triple	тройной
troop	отряд
trophy	трофей, приз
troublesome	хлопотный, беспокойный
trousers	брюки
trout	форель
truck	грузовик
trump	козырь
trumpet	труба
trunk	ствол дерева
trunk	багажник
trunk	чемодан, сундук
trust	доверять
try on	примерить
try out	испытать
tub	ванна, бадья
tube	тюбик
tube	труба
tuck	подоткнуть, заправить и т. д.
tug	тянуть, рывок
tuition	обучение, плата за обучение
tumble	перевернуться, кувыркнуться
tumor опухоль
tumour	опухоль
tuna	тунец
tune	настраивать
tune	мелодия, мотив
turkey	индейка, индюк
turmoil	смятение, беспорядок
turn	очередь, смена
turn away	не пустить
turn down	отказаться от предложения
turn in	лечь спать
turn into	превращать, превращаться
turn off	свернуть
turn off	выключить
turn on	включить
turn out	оказаться
turn over	перевернуть
turn up	сделать погромче
turnover	оборот
turtle	черепаха
tutor	репетитор, преподаватель
twig	прут, веточка
twilight	сумерки
twin	близнец
twinkle	блеск, мерцание
twirl	вертеть
twist	скручивать
twitch	дёргаться
type	печатать, набирать текст
ugly	безобразный, уродливый
ulcer	язва
ultimate	окончательный, конечный
umbrella	зонтик
unanimous	единогласный
unbelievable	невероятный
uncle	дядя
undergo	пройти через, подвергнуться
underground	подземный
underlie	лежать в основе
underline	подчеркивнуть
undermine	подрывать
underneath	под
underscore	нижнее подчеркивание
undertake	предпринимать
underwear	нижнее белье
undo	расстёгнуть, развязать, открыть
union	союз
unique	уникальный
unit	единица, элемент
unite	объединять
universe	вселенная
unless	если не
upcoming	предстоящий, наступающий
update	обновлять, обновление
uphill	в гору
uphold	соблюдать, поддерживать
upper	верхний
upright	вертикальный, стоячий
upright	честный
uprising  восстание
upset	расстраивать, расстроенный
upside down	вверх ногами
up-to-date	современный, актуальный
urban	городской
urge	побуждать, гнать и т.д.
urgent	срочный
usage	применение
used to	когда-то бывало
useful	полезный
utility	полезность
utilize	использовать
utter	издать, произнести
utter	полный, абсолютный
vacation	отпуск, каникулы
vague	смутный
vain	напрасный, безрезультатный
vain	тщеславный, самолюбивый
valid	действительный
valley	долина
value	ценность, оценивать
valve	задвижка, вентиль
van	фургон
vanish	исчезнуть
vapor	пар
variety	разнообразие, множество
various	разнообразный
varnish	лак, лакировать
vary	меняться, разниться
vase	ваза
vast	просторный, простор
vault	хранилище, об. в подвале
vault	свод, небосвод
veer	резко свернуть
vegetable	овощ
vegetation	растительность
vehicle	транспортное средство
veil	вуаль, закрывать
vein	вена
velocity	быстрота перемещения
velvet	бархат
vendor	продавец, торговец
vengeance	отмщение
vent	выход, отдушина
venture	авантюра, предприятие, решиться
verb	глагол
verge	обочина
verge	грань, предел
verify	проверить
versatile	универсальный, разносторонний
verse	стих
vessel	сосуд
vessel	судно
vest	жилет
via	через
viable	жизнеспособный
vice	порок, недостаток
vice versa	наоборот
vicinity	окрестность, близость
vicious	злобный, жестокий
victim	жертва
view	вид, взгляд
vigil	дежурство, бдение
vigor	сила, энергия, здоровье
village	деревня
villain	негодяй
vine	виноград
vinegar	уксус
violate	нарушать
violent	яростный, жестокий
violet	фиолетовый
violin	скрипка
virgin	девственница, дева
virtual	действительный, фактический
virtue	достоинство, добродетель
visible	видимый
vision	зрение или видение
visit	посетить, посещение
vital	жизненный, жизненно важный
vivid	яркий
vocabulary	словарный запас
vocation	призвание или профессия
void	недействительный, пустой
volatile	изменчивый, нестабильный
volume	объём
volume	громкость
volume	том, книга
voluntary	добровольный
vomit	рвота, страдать рвотой
vote	голосовать
vow	клятва, торжественное обещание
voyage	путешествие, рейс
vulnerable	уязвимый, чувствительный
wade	брод, переходить вброд
waffle	вафля, вафельный
